time,open,high,low,close,volume
1770156000,1.18182,1.1832,1.18088,1.1826,14998
1770170400,1.18261,1.18362,1.1819,1.1833,13059
1770184800,1.18332,1.1838,1.18112,1.18136,24991
1770199200,1.18136,1.18273,1.18048,1.18226,26971
1770213600,1.18226,1.18258,1.17906,1.17978,50533
1770228000,1.17976,1.18098,1.17947,1.18055,21473
1770242400,1.18058,1.18084,1.17995,1.18038,9838
1770256800,1.18039,1.18054,1.17828,1.17901,19787
1770271200,1.17902,1.18088,1.17804,1.17808,28033
1770285600,1.17808,1.18155,1.17804,1.18118,40308
1770300000,1.18117,1.18218,1.1782,1.18009,56732
1770314400,1.1801,1.18029,1.1775,1.17792,16547
1770328800,1.17776,1.17884,1.17656,1.17853,16329
1770343200,1.17852,1.18014,1.17846,1.17984,12261
1770357600,1.17983,1.1802,1.17858,1.1792,23124
1770372000,1.1792,1.18112,1.17857,1.18104,19947
1770386400,1.18104,1.18262,1.18052,1.1818,31421
1770400800,1.1818,1.18241,1.18134,1.18168,10464
1770588000,1.18126,1.18337,1.18097,1.18256,18384
1770602400,1.18254,1.18363,1.18161,1.18334,11038
1770616800,1.18334,1.18698,1.18332,1.18622,30938
1770631200,1.18622,1.19058,1.18552,1.19037,33442
1770645600,1.19038,1.19268,1.1893,1.19086,37592
1770660000,1.19086,1.19224,1.19037,1.19151,16161
1770674400,1.19118,1.19156,1.18967,1.19058,9724
1770688800,1.19057,1.19171,1.19038,1.19073,12127
1770703200,1.19072,1.192,1.18994,1.19145,22534
1770717600,1.19146,1.19176,1.18884,1.19055,26628
1770732000,1.19055,1.19288,1.18933,1.18958,40741
1770746400,1.18958,1.19035,1.18868,1.18948,13310
1770760800,1.18951,1.19021,1.18864,1.18978,11498
1770775200,1.1898,1.19193,1.18978,1.19185,13314
1770789600,1.19184,1.19258,1.19101,1.19181,21722
